Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
2025-03-31 02:02:00,2025-03-31 02:02:00,412.88,-0.199999999999989,-0.00048416771569669,413.0,412.88,413.0,6.0
2025-03-31 02:04:00,2025-03-31 02:04:00,412.86,-0.0199999999999818,-4.84402247625988e-05,412.85,412.81,412.89,120.0
2025-03-31 02:09:00,2025-03-31 02:09:00,412.81,-0.0500000000000114,-0.000121106428329243,412.81,412.81,412.81,1.0
2025-03-31 02:10:00,2025-03-31 02:10:00,412.78,-0.0300000000000296,-7.26726581236636e-05,412.78,412.78,412.78,1.0
2025-03-31 02:12:00,2025-03-31 02:12:00,412.91,0.130000000000052,0.000314937739231679,412.91,412.91,412.91,100.0
2025-03-31 02:15:00,2025-03-31 02:15:00,412.72,-0.189999999999998,-0.000460148700685374,412.84,412.72,412.84,47.0
2025-03-31 02:16:00,2025-03-31 02:16:00,412.97,0.25,0.000605737546036053,412.76,412.76,412.97,34.0
2025-03-31 02:17:00,2025-03-31 02:17:00,413.07,0.0999999999999659,0.000242148340073046,413.06,413.05,413.07,235.0
2025-03-31 02:18:00,2025-03-31 02:18:00,413.03,-0.0400000000000205,-9.68358873799125e-05,413.07,413.03,413.07,66.0
2025-03-31 02:19:00,2025-03-31 02:19:00,413.03,0.0,0.0,413.07,413.03,413.07,3.0
2025-03-31 02:21:00,2025-03-31 02:21:00,412.97,-0.0599999999999454,-0.000145267898215494,412.97,412.97,412.97,26.0
2025-03-31 02:26:00,2025-03-31 02:26:00,413.09,0.119999999999948,0.000290578008087628,412.97,412.97,413.09,546.0
2025-03-31 02:27:00,2025-03-31 02:27:00,413.19,0.100000000000023,0.000242077997530859,413.14,413.11,413.19,2390.0
2025-03-31 02:28:00,2025-03-31 02:28:00,413.18,-0.00999999999999091,-2.42019409956458e-05,413.18,413.18,413.18,686.0
2025-03-31 02:29:00,2025-03-31 02:29:00,413.14,-0.0400000000000205,-9.68101069752177e-05,413.14,413.14,413.14,300.0
2025-03-31 02:31:00,2025-03-31 02:31:00,413.14,0.0,0.0,413.14,413.14,413.14,17.0
2025-03-31 02:33:00,2025-03-31 02:33:00,413.28,0.139999999999986,0.000338868180277839,413.28,413.28,413.28,300.0
2025-03-31 02:37:00,2025-03-31 02:37:00,413.19,-0.089999999999975,-0.000217770034843145,413.19,413.19,413.19,200.0
2025-03-31 02:40:00,2025-03-31 02:40:00,413.16,-0.0299999999999727,-7.26058229869375e-05,413.16,413.16,413.16,18.0
2025-03-31 02:42:00,2025-03-31 02:42:00,413.12,-0.0400000000000205,-9.68147933004658e-05,413.12,413.12,413.12,1.0
